LPIPS
attack_name, clean_acc, clean_recon_acc, x_adv_acc, modf_x_adv_acc, x_hat_adv_acc, lpips_orig, lpips_modf, linf_orig, linf_modf
fgsm       , 99.41    , 98.63          , 4.98     , 25.88         , 25.1         , 0.21194   , 0.09418   , 0.2      , 1.0
pgd        , 99.41    , 98.63          , 0.0      , 99.32         , 98.14        , 0.66922   , 0.02537   , 0.8      , 1.0
deepfool   , 99.41    , 98.63          , 0.59     , 41.7          , 1.27         , 0.03247   , 0.07952   , 0.4768   , 1.0
cnw        , 99.41    , 98.63          , 2.83     , 36.52         , 0.78         , 0.04455   , 0.06957   , 0.99608  , 1.0
elastic    , 99.41    , 98.63          , 0.0      , 29.88         , 0.0          , 0.03517   , 0.11326   , 0.68951  , 0.99979

R-LPIPS
attack_name, clean_acc, clean_recon_acc, x_adv_acc, modf_x_adv_acc, x_hat_adv_acc, lpips_orig, lpips_modf, linf_orig, linf_modf
fgsm       , 99.41    , 98.63          , 4.98     , 25.88         , 25.1         , 0.08876   , 0.04271   , 0.2      , 1.0
pgd        , 99.41    , 98.63          , 0.0      , 99.32         , 98.14        , 0.24904   , 0.01008   , 0.8      , 1.0
deepfool   , 99.41    , 98.63          , 0.59     , 41.7          , 1.27         , 0.01083   , 0.03314   , 0.4768   , 1.0
cnw        , 99.41    , 98.63          , 2.83     , 36.52         , 0.78         , 0.01888   , 0.0279    , 0.99608  , 1.0
elastic    , 99.41    , 98.63          , 0.0      , 29.88         , 0.0          , 0.01194   , 0.05501   , 0.68951  , 0.99979


ST-LPIPS
attack_name, clean_acc, clean_recon_acc, x_adv_acc, modf_x_adv_acc, x_hat_adv_acc, lpips_orig, lpips_modf, linf_orig, linf_modf
fgsm       , 99.41    , 98.63          , 4.98     , 25.88         , 25.1         , 0.11424   , 0.07763   , 0.2      , 1.0
pgd        , 99.41    , 98.63          , 0.0      , 99.32         , 98.14        , 0.29594   , 0.01989   , 0.8      , 1.0
deepfool   , 99.41    , 98.63          , 0.59     , 41.7          , 1.27         , 0.01471   , 0.06029   , 0.4768   , 1.0
cnw        , 99.41    , 98.63          , 2.83     , 36.52         , 0.78         , 0.03596   , 0.05239   , 0.99608  , 1.0
elastic    , 99.41    , 98.63          , 0.0      , 29.88         , 0.0          , 0.01548   , 0.09388   , 0.68951  , 0.99979
